tag,dataset,seed,features,balance,model,family,n_features,n_train,n_train_used,n_val,svm_cap,epochs_run,max_epochs,train_seconds,predict_seconds,load_seconds,total_seconds,finished_utc,host,accuracy,balanced_accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro,mcc,roc_auc,pr_auc,tn,fp,fn,tp,n_test,pos_rate,f1_consistency_error
CIC-IDS2017__balanced__all__CNN__seed42,CIC-IDS2017,42,all,balanced,CNN,DL,47,2639016,2639016,176407,,54.0,200,631.4376537799835,1.2733252048492432,21.86661458015442,632.7109789848328,2026-09-01T05:00:10.262245+00:00,gpu1.nitsri.ac.in,0.9969948322224882,0.9974588813976841,0.9842696629213483,0.998159648532026,0.9911659953030468,0.9919472923567759,0.9974588813976841,0.9946777274809724,0.9893908221980255,0.9999298667091873,0.9996616484108581,626301,2037,235,127458,756031,0.16889915889692353,1.1102230246251565e-16
CIC-IDS2017__balanced__all__CNN__seed43,CIC-IDS2017,43,all,balanced,CNN,DL,47,2639016,2639016,176407,,49.0,200,563.2195398807526,1.272721529006958,21.451972007751465,564.4922614097595,2026-09-01T09:15:17.272839+00:00,gpu1.nitsri.ac.in,0.9976363403087969,0.9971210053796112,0.9897313024131439,0.9963427909125794,0.9930260420935143,0.9944935307574776,0.9971210053796112,0.995801535431348,0.9916110551297237,0.999937326667345,0.9997280044244199,627018,1320,467,127226,756031,0.16889915889692353,1.1102230246251565e-16
CIC-IDS2017__balanced__all__CNN__seed44,CIC-IDS2017,44,all,balanced,CNN,DL,47,2639016,2639016,176407,,56.0,200,673.5828294754028,1.2916591167449951,22.512441158294678,674.8744885921478,2026-09-01T12:16:48.244624+00:00,gpu1.nitsri.ac.in,0.9981799688108027,0.9977101295279891,0.9922605083279424,0.9970006186713446,0.9946249160143127,0.9958251857266862,0.9977101295279891,0.9967647160891362,0.9935335271872173,0.9999138104281624,0.9996825138342424,627345,993,383,127310,756031,0.16889915889692353,1.1102230246251565e-16
CIC-IDS2017__balanced__all__CNN__seed45,CIC-IDS2017,45,all,balanced,CNN,DL,47,2639016,2639016,176407,,40.0,200,462.7041480541229,1.2845611572265625,20.883323431015015,463.9887092113495,2026-09-01T15:22:04.093201+00:00,gpu1.nitsri.ac.in,0.9973903186509548,0.9971009114146949,0.9879904358221933,0.9966638735091196,0.9923082021153419,0.9936556225238542,0.9971009114146949,0.9953683927454107,0.9907505435407977,0.9999101551178374,0.9996310402650033,626791,1547,426,127267,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__CNN__seed46,CIC-IDS2017,46,all,balanced,CNN,DL,47,2639016,2639016,176407,,66.0,200,768.9358718395233,1.2773892879486084,20.933270692825317,770.2132611274719,2026-09-01T18:44:34.463778+00:00,gpu1.nitsri.ac.in,0.9981958411758248,0.9970551416683392,0.9939936651937591,0.9953325554259043,0.994662659748472,0.9965224357017913,0.9970551416683392,0.9967885540454284,0.9935774345651429,0.9999246203972856,0.9996627910136308,627570,768,596,127097,756031,0.16889915889692353,1.1102230246251565e-16
CIC-IDS2017__balanced__all__DT__seed42,CIC-IDS2017,42,all,balanced,DT,ML,47,2639016,2639016,176407,,,200,70.26641082763672,0.061066389083862305,21.86661458015442,70.32747721672058,2026-09-01T04:19:45.025333+00:00,gpu1.nitsri.ac.in,0.9991481830771489,0.998701324339081,0.9969334991747045,0.9980265167237045,0.9974797085228118,0.9982661758828832,0.998701324339081,0.9984835941940461,0.9969674052568888,0.9987013243390811,0.9952993872519679,627946,392,252,127441,756031,0.16889915889692353,1.1102230246251565e-16
CIC-IDS2017__balanced__all__DT__seed43,CIC-IDS2017,43,all,balanced,DT,ML,47,2639016,2639016,176407,,,200,74.51753330230713,0.06403732299804688,21.451972007751465,74.58157062530518,2026-09-01T08:36:23.789938+00:00,gpu1.nitsri.ac.in,0.9991376015004676,0.9987292771436108,0.9967856221111658,0.9981126608349714,0.9974487000892173,0.9982009833916459,0.9987292771436108,0.9984649004279733,0.9969301205584102,0.9987292756417606,0.9952231195649446,627927,411,241,127452,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__DT__seed44,CIC-IDS2017,44,all,balanced,DT,ML,47,2639016,2639016,176407,,,200,75.55884146690369,0.06273317337036133,22.512441158294678,75.62157464027405,2026-09-01T11:37:19.796214+00:00,gpu1.nitsri.ac.in,0.9990899844054014,0.9985883140524469,0.9967847168438593,0.9978307346526435,0.9973074514715091,0.9981718886382288,0.9985883140524469,0.9983799585238349,0.9967601157037892,0.9985922254064283,0.9949952967365238,627927,411,277,127416,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__DT__seed45,CIC-IDS2017,45,all,balanced,DT,ML,47,2639016,2639016,176407,,,200,72.84084343910217,0.0657050609588623,20.883323431015015,72.90654850006104,2026-09-01T14:43:38.481979+00:00,gpu1.nitsri.ac.in,0.9991111475587642,0.9987414411647172,0.9965598392506705,0.9981831423805534,0.9973708303011808,0.9980952444784708,0.9987414411647172,0.9984179988693958,0.9968364761955386,0.9987414382731881,0.9950560976372534,627898,440,232,127461,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__DT__seed46,CIC-IDS2017,46,all,balanced,DT,ML,47,2639016,2639016,176407,,,200,79.55376839637756,0.06754922866821289,20.933270692825317,79.62131762504578,2026-09-01T18:03:57.304796+00:00,gpu1.nitsri.ac.in,0.9990185587628021,0.9985609430061256,0.9963249955039839,0.9978698910668556,0.9970968448729185,0.9979459855094983,0.9985609430061256,0.9982531526426388,0.9965067387664371,0.9985609430061255,0.9945624883379127,627868,470,272,127421,756031,0.16889915889692353,1.1102230246251565e-16
CIC-IDS2017__balanced__all__GNB__seed42,CIC-IDS2017,42,all,balanced,GNB,ML,47,2639016,2639016,176407,,,200,0.6395881175994873,0.1050405502319336,21.86661458015442,0.7446286678314209,2026-09-01T04:20:34.287976+00:00,gpu1.nitsri.ac.in,0.4402570794054741,0.6563041051017098,0.22961374176003163,0.9825597331098808,0.37223915800716495,0.6094945989832938,0.6563041051017098,0.43360778529825267,0.2616444557605173,0.7079180384772188,0.259609846641657,207382,420956,2227,125466,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__GNB__seed43,CIC-IDS2017,43,all,balanced,GNB,ML,47,2639016,2639016,176407,,,200,0.6510565280914307,0.11097192764282227,21.451972007751465,0.7620284557342529,2026-09-01T08:37:15.396356+00:00,gpu1.nitsri.ac.in,0.45945338220258164,0.6683738475524094,0.23604443834864902,0.9838675573445687,0.38074298113756483,0.613419648884586,0.6683738475524094,0.45057714090687795,0.27638308682508833,0.725533116143667,0.27191928890300365,221728,406610,2060,125633,756031,0.16889915889692353,5.551115123125783e-17
CIC-IDS2017__balanced__all__GNB__seed44,CIC-IDS2017,44,all,balanced,GNB,ML,47,2639016,2639016,176407,,,200,0.6473770141601562,0.10718512535095215,22.512441158294678,0.7545621395111084,2026-09-01T11:38:13.711431+00:00,gpu1.nitsri.ac.in,0.43045853939851675,0.6507242976990572,0.22664214341409883,0.9833506926769674,0.36838021196230153,0.6080586694179292,0.6507242976990572,0.42490321403246006,0.25524158797744506,0.7003686431366707,0.25453624223100213,199873,428465,2126,125567,756031,0.16889915889692353,5.551115123125783e-17
CIC-IDS2017__balanced__all__GNB__seed45,CIC-IDS2017,45,all,balanced,GNB,ML,47,2639016,2639016,176407,,,200,0.6433978080749512,0.11004257202148438,20.883323431015015,0.7534403800964355,2026-09-01T14:44:28.045031+00:00,gpu1.nitsri.ac.in,0.4714171773379663,0.6754278918251271,0.24007944852477317,0.9835073183338162,0.38594712038586415,0.615518955774676,0.6754278918251271,0.4609741593130615,0.28471211338748126,0.7316291850745994,0.27647168136134953,230819,397519,2106,125587,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__GNB__seed46,CIC-IDS2017,46,all,balanced,GNB,ML,47,2639016,2639016,176407,,,200,0.6445965766906738,0.1092369556427002,20.933270692825317,0.753833532333374,2026-09-01T18:04:47.154150+00:00,gpu1.nitsri.ac.in,0.4315854773150836,0.6509311731527168,0.22684208812794143,0.9821681689677586,0.3685611053071612,0.6078168934976488,0.6509311731527168,0.4258658494276888,0.25513079172284675,0.697787589968529,0.2529851712606,200876,427462,2277,125416,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__GRU__seed42,CIC-IDS2017,42,all,balanced,GRU,DL,47,2639016,2639016,176407,,51.0,200,216.5565745830536,0.7979128360748291,21.86661458015442,217.35448741912842,2026-09-01T04:42:18.499527+00:00,gpu1.nitsri.ac.in,0.9970278996496176,0.9948923852091005,0.9907442180702908,0.9916675150556412,0.9912056515528072,0.9945252705918637,0.9948923852091005,0.9947087159190712,0.9894175876936557,0.9998495654434951,0.9993256582314278,627155,1183,1064,126629,756031,0.16889915889692353,1.1102230246251565e-16
